S.No.		a		b		Actual Area		Area Est.		Division(n)		Max-Error		Error		max[a,b]f''(x)
1		1		2		34.4667		34.5000		2		0.0333		0.0333		96.0000
2		1		2		34.4667		34.4688		4		0.0021		0.0021		96.0000
3		1		2		34.4667		34.4671		6		0.0004		0.0004		96.0000
4		1		2		34.4667		34.4668		8		0.0001		0.0001		96.0000
5		1		2		34.4667		34.4667		10		0.0001		0.0001		96.0000
6		1		2		34.4667		34.4667		12		0.0000		0.0000		96.0000
7		1		2		34.4667		34.4667		14		0.0000		0.0000		96.0000
8		1		2		34.4667		34.4667		16		0.0000		0.0000		96.0000
9		1		2		34.4667		34.4667		18		0.0000		0.0000		96.0000
10		1		2		34.4667		34.4667		20		0.0000		0.0000		96.0000
11		1		2		34.4667		34.4667		22		0.0000		0.0000		96.0000
12		1		2		34.4667		34.4667		24		0.0000		0.0000		96.0000
13		1		2		34.4667		34.4667		26		0.0000		0.0000		96.0000
14		1		2		34.4667		34.4667		28		0.0000		0.0000		96.0000
15		1		2		34.4667		34.4667		30		0.0000		0.0000		96.0000
16		1		2		34.4667		34.4667		32		0.0000		0.0000		96.0000
17		1		2		34.4667		34.4667		34		0.0000		0.0000		96.0000
18		1		2		34.4667		34.4667		36		0.0000		0.0000		96.0000
19		1		2		34.4667		34.4667		38		0.0000		0.0000		96.0000
20		1		2		34.4667		34.4667		40		0.0000		0.0000		96.0000
21		1		2		34.4667		34.4667		42		0.0000		0.0000		96.0000
22		1		2		34.4667		34.4667		44		0.0000		0.0000		96.0000
23		1		2		34.4667		34.4667		46		0.0000		0.0000		96.0000
24		1		2		34.4667		34.4667		48		0.0000		0.0000		96.0000
25		1		2		34.4667		34.4667		50		0.0000		0.0000		96.0000
26		1		2		34.4667		34.4667		52		0.0000		0.0000		96.0000
27		1		2		34.4667		34.4667		54		0.0000		0.0000		96.0000
28		1		2		34.4667		34.4667		56		0.0000		0.0000		96.0000
29		1		2		34.4667		34.4667		58		0.0000		0.0000		96.0000
30		1		2		34.4667		34.4667		60		0.0000		0.0000		96.0000
31		1		2		34.4667		34.4667		62		0.0000		0.0000		96.0000
32		1		2		34.4667		34.4667		64		0.0000		0.0000		96.0000
33		1		2		34.4667		34.4667		66		0.0000		0.0000		96.0000
34		1		2		34.4667		34.4667		68		0.0000		0.0000		96.0000
35		1		2		34.4667		34.4667		70		0.0000		0.0000		96.0000
36		1		2		34.4667		34.4667		72		0.0000		0.0000		96.0000
37		1		2		34.4667		34.4667		74		0.0000		0.0000		96.0000
38		1		2		34.4667		34.4667		76		0.0000		0.0000		96.0000
39		1		2		34.4667		34.4667		78		0.0000		0.0000		96.0000
40		1		2		34.4667		34.4667		80		0.0000		0.0000		96.0000
41		1		2		34.4667		34.4667		82		0.0000		0.0000		96.0000
42		1		2		34.4667		34.4667		84		0.0000		0.0000		96.0000
43		1		2		34.4667		34.4667		86		0.0000		0.0000		96.0000
44		1		2		34.4667		34.4667		88		0.0000		0.0000		96.0000
45		1		2		34.4667		34.4667		90		0.0000		0.0000		96.0000
46		1		2		34.4667		34.4667		92		0.0000		0.0000		96.0000
47		1		2		34.4667		34.4667		94		0.0000		0.0000		96.0000
48		1		2		34.4667		34.4667		96		0.0000		0.0000		96.0000
49		1		2		34.4667		34.4667		98		0.0000		0.0000		96.0000
50		1		2		34.4667		34.4667		100		0.0000		0.0000		96.0000
