Trapezoidl Rule Calculation :
S.No.          a              b              Actual Area    Area Est.      Division(n)    Max-Error        Error            max[a,b]f''(x) 
1              2              5              480.75         622.5          1              202.46         141.75         89.982         
2              2              5              480.75         516.188        2              50.6149        35.4375        89.982         
3              2              5              480.75         496.5          3              22.4955        15.75          89.982         
4              2              5              480.75         489.609        4              12.6537        8.85938        89.982         
5              2              5              480.75         486.42         5              8.09838        5.67           89.982         
6              2              5              480.75         484.688        6              5.62388        3.9375         89.982         
7              2              5              480.75         483.643        7              4.13183        2.89286        89.982         
8              2              5              480.75         482.965        8              3.16343        2.21484        89.982         
9              2              5              480.75         482.5          9              2.4995         1.75           89.982         
10             2              5              480.75         482.167        10             2.0246         1.4175         89.982         
11             2              5              480.75         481.921        11             1.67322        1.17149        89.982         
12             2              5              480.75         481.734        12             1.40597        0.984375       89.982         
13             2              5              480.75         481.589        13             1.19799        0.838757       89.982         
14             2              5              480.75         481.473        14             1.03296        0.723214       89.982         
15             2              5              480.75         481.38         15             0.89982        0.63           89.982         
16             2              5              480.75         481.304        16             0.790857       0.553711       89.982         
17             2              5              480.75         481.24         17             0.700552       0.490484       89.982         
18             2              5              480.75         481.188        18             0.624875       0.4375         89.982         
19             2              5              480.75         481.143        19             0.56083        0.392659       89.982         
20             2              5              480.75         481.104        20             0.506149       0.354375       89.982         
21             2              5              480.75         481.071        21             0.459092       0.321429       89.982         
22             2              5              480.75         481.043        22             0.418305       0.292872       89.982         
23             2              5              480.75         481.018        23             0.382721       0.267958       89.982         
24             2              5              480.75         480.996        24             0.351492       0.246094       89.982         
25             2              5              480.75         480.977        25             0.323935       0.2268         89.982         
26             2              5              480.75         480.96         26             0.299496       0.209689       89.982         
27             2              5              480.75         480.944        27             0.277722       0.194444       89.982         
28             2              5              480.75         480.931        28             0.258239       0.180804       89.982         
29             2              5              480.75         480.919        29             0.240737       0.168549       89.982         
30             2              5              480.75         480.908        30             0.224955       0.1575         89.982         
31             2              5              480.75         480.898        31             0.210676       0.147503       89.982         
32             2              5              480.75         480.888        32             0.197714       0.138428       89.982         
33             2              5              480.75         480.88         33             0.185913       0.130165       89.982         
34             2              5              480.75         480.873        34             0.175138       0.122621       89.982         
35             2              5              480.75         480.866        35             0.165273       0.115714       89.982         
36             2              5              480.75         480.859        36             0.156219       0.109375       89.982         
37             2              5              480.75         480.854        37             0.147889       0.103543       89.982         
38             2              5              480.75         480.848        38             0.140207       0.0981648      89.982         
39             2              5              480.75         480.843        39             0.133109       0.0931953      89.982         
40             2              5              480.75         480.839        40             0.126537       0.0885937      89.982         
41             2              5              480.75         480.834        41             0.12044        0.0843248      89.982         
42             2              5              480.75         480.83         42             0.114773       0.0803571      89.982         
43             2              5              480.75         480.827        43             0.109497       0.0766631      89.982         
44             2              5              480.75         480.823        44             0.104576       0.073218       89.982         
45             2              5              480.75         480.82         45             0.09998        0.07           89.982         
46             2              5              480.75         480.817        46             0.0956803      0.0669896      89.982         
47             2              5              480.75         480.814        47             0.0916521      0.0641693      89.982         
48             2              5              480.75         480.812        48             0.087873       0.0615234      89.982         
49             2              5              480.75         480.809        49             0.084323       0.0590379      89.982         
50             2              5              480.75         480.807        50             0.0809838      0.0567         89.982         
51             2              5              480.75         480.804        51             0.0778391      0.0544983      89.982         
52             2              5              480.75         480.802        52             0.0748741      0.0524223      89.982         
53             2              5              480.75         480.8          53             0.0720753      0.0504628      89.982         
54             2              5              480.75         480.799        54             0.0694306      0.0486111      89.982         
55             2              5              480.75         480.797        55             0.0669288      0.0468595      89.982         
56             2              5              480.75         480.795        56             0.0645598      0.0452009      89.982         
57             2              5              480.75         480.794        57             0.0623144      0.0436288      89.982         
58             2              5              480.75         480.792        58             0.0601842      0.0421373      89.982         
59             2              5              480.75         480.791        59             0.0581613      0.0407211      89.982         
60             2              5              480.75         480.789        60             0.0562388      0.039375       89.982         
61             2              5              480.75         480.788        61             0.05441        0.0380946      89.982         
62             2              5              480.75         480.787        62             0.052669       0.0368757      89.982         
63             2              5              480.75         480.786        63             0.0510102      0.0357143      89.982         
64             2              5              480.75         480.785        64             0.0494286      0.0346069      89.982         
65             2              5              480.75         480.784        65             0.0479194      0.0335503      89.982         
66             2              5              480.75         480.783        66             0.0464783      0.0325413      89.982         
67             2              5              480.75         480.782        67             0.0451012      0.0315772      89.982         
68             2              5              480.75         480.781        68             0.0437845      0.0306553      89.982         
69             2              5              480.75         480.78         69             0.0425246      0.0297732      89.982         
70             2              5              480.75         480.779        70             0.0413183      0.0289286      89.982         
71             2              5              480.75         480.778        71             0.0401626      0.0281194      89.982         
72             2              5              480.75         480.777        72             0.0390547      0.0273437      89.982         
73             2              5              480.75         480.777        73             0.037992       0.0265997      89.982         
74             2              5              480.75         480.776        74             0.0369722      0.0258857      89.982         
75             2              5              480.75         480.775        75             0.0359928      0.0252         89.982         
76             2              5              480.75         480.775        76             0.0350519      0.0245412      89.982         
77             2              5              480.75         480.774        77             0.0341473      0.0239079      89.982         
78             2              5              480.75         480.773        78             0.0332774      0.0232988      89.982         
79             2              5              480.75         480.773        79             0.0324402      0.0227127      89.982         
80             2              5              480.75         480.772        80             0.0316343      0.0221484      89.982         
81             2              5              480.75         480.772        81             0.030858       0.0216049      89.982         
82             2              5              480.75         480.771        82             0.03011        0.0210812      89.982         
83             2              5              480.75         480.771        83             0.0293888      0.0205763      89.982         
84             2              5              480.75         480.77         84             0.0286932      0.0200893      89.982         
85             2              5              480.75         480.77         85             0.0280221      0.0196194      89.982         
86             2              5              480.75         480.769        86             0.0273742      0.0191658      89.982         
87             2              5              480.75         480.769        87             0.0267485      0.0187277      89.982         
88             2              5              480.75         480.768        88             0.026144       0.0183045      89.982         
89             2              5              480.75         480.768        89             0.0255598      0.0178955      89.982         
90             2              5              480.75         480.768        90             0.024995       0.0175         89.982         
91             2              5              480.75         480.767        91             0.0244487      0.0171175      89.982         
92             2              5              480.75         480.767        92             0.0239201      0.0167474      89.982         
93             2              5              480.75         480.766        93             0.0234084      0.0163892      89.982         
